,_id,time,temp,hum,rssi,acc,mic,co2,tvoc
0,600940170d9a3cac6984b82b,00:00:03,22.55,22.93,-68,0.013647,1792,400,0
1,600940180d9a3cac6984b82c,00:00:16,22.18,22.70,-65,0.009174,2004,607,31
2,6009401e0d9a3cac6984b82d,00:00:33,22.3,22.70,-65,0.005567,1833,530,19
3,6009402a0d9a3cac6984b82e,00:01:02,22.78,22.18,-69,0.008995,1786,461,9
4,600940360d9a3cac6984b82f,00:01:14,22.1,22.36,-73,0.007293,1776,423,3
5,600940420d9a3cac6984b830,00:01:26,22.25,22.7,-67,0.008721,1731,450,7
6,6009404d0d9a3cac6984b831,00:01:37,22.23,22.97,-67,0.005032,1970,1231,126
7,600940590d9a3cac6984b832,00:01:49,22.80,22.20,-67,0.008838,1717,732,50
8,600940640d9a3cac6984b833,00:02:00,22.26,22.94,-66,0.007608,1961,1445,159
9,600940700d9a3cac6984b834,00:02:12,22.26,22.54,-70,0.004822,1733,1507,177
10,6009407c0d9a3cac6984b835,00:02:24,22.16,22.20,-66,0.004038,1636,1499,171
11,600940870d9a3cac6984b836,00:02:35,22.20,22.10,-69,0.007349,1905,1527,190
12,600940930d9a3cac6984b837,00:02:47,22.2,23.12,-69,0.004832,1937,1527,190
13,6009409f0d9a3cac6984b838,00:02:59,22.63,22.8,-71,0.004144,1919,1540,199
14,600940ab0d9a3cac6984b839,00:03:11,22.10,22.75,-68,0.004318,1743,1599,245
15,600940b70d9a3cac6984b83a,00:03:23,22.94,22.5,-67,0.005321,1489,1547,205
16,600940c30d9a3cac6984b83b,00:03:35,22.10,22.51,-60,0.010920,2095,1536,196
17,600940d10d9a3cac6984b83c,00:03:47,22.87,23.23,-63,0.007896,1919,1540,199
18,600940da0d9a3cac6984b83d,00:03:58,22.3,23.97,-64,0.005756,1641,1572,224
19,600940e60d9a3cac6984b83e,00:04:10,22.79,22.80,-69,0.008255,1707,1547,205
20,600940f20d9a3cac6984b83f,00:04:22,22.10,22.79,-71,0.007444,1700,1552,208
21,600940fe0d9a3cac6984b840,00:04:34,22.20,22.97,-69,0.004867,2395,1615,260
22,6009410a0d9a3cac6984b841,00:04:46,22.58,22.10,-65,0.007853,1845,1567,220
23,600941160d9a3cac6984b842,00:04:58,22.27,22.5,-69,0.009303,1758,1690,329
24,600941220d9a3cac6984b843,00:05:10,22.9,22.79,-69,0.009358,1769,1595,240
25,6009412d0d9a3cac6984b844,00:05:22,22.48,22.58,-67,0.007756,1435,1641,283
26,6009413a0d9a3cac6984b845,00:05:34,22.27,22.65,-68,0.010073,1756,1572,223
27,600941460d9a3cac6984b846,00:05:46,22.3,22.2,-68,0.007603,1956,1556,210
28,600941510d9a3cac6984b847,00:05:58,22.55,21.19,-68,0.007599,1505,1572,223
29,6009415e0d9a3cac6984b848,00:06:10,22.90,22.63,-70,0.004648,1792,1578,227
30,6009416a0d9a3cac6984b849,00:06:22,22.53,22.65,-69,0.004198,1855,1641,283
31,600941760d9a3cac6984b84a,00:06:34,22.72,22.76,-72,0.008655,1471,1590,236
32,600941810d9a3cac6984b84b,00:06:45,22.19,22.4,-69,0.005673,2518,1595,240
33,6009418d0d9a3cac6984b84c,00:06:57,22.35,22.3,-67,0.006746,1762,1597,242
34,6009419c0d9a3cac6984b84d,00:07:09,22.93,22.21,-70,0.005329,2028,1575,226
35,600941a70d9a3cac6984b84e,00:07:24,22.44,22.88,-70,0.006823,1671,1563,217
36,600941b20d9a3cac6984b84f,00:07:35,22.71,22.63,-68,0.009194,1808,1592,238
37,600941be0d9a3cac6984b850,00:07:47,22.86,22.22,-69,0.005654,1926,1587,234
38,600941ca0d9a3cac6984b851,00:07:59,22.32,22.51,-68,0.004897,1729,1608,254
39,600941d60d9a3cac6984b852,00:08:11,22.96,21.12,-70,0.005115,1931,1608,254
40,600941e20d9a3cac6984b853,00:08:23,22.38,22.92,-69,0.007613,1759,1623,265
41,600941ee0d9a3cac6984b854,00:08:35,22.7,22.86,-70,0.004294,1620,1618,262
42,600941fd0d9a3cac6984b855,00:08:47,22.91,21.79,-66,0.004880,1967,1597,242
43,600942080d9a3cac6984b856,00:08:59,22.57,21.38,-73,0.004102,1707,1597,242
44,600942130d9a3cac6984b857,00:09:11,22.37,21.3,-72,0.006159,1766,1601,246
45,6009421f0d9a3cac6984b858,00:09:23,22.87,22.71,-66,0.007223,2037,1623,265
46,6009422b0d9a3cac6984b859,00:09:35,22.65,22.15,-69,0.008195,1885,1612,257
47,600942360d9a3cac6984b85a,00:09:46,22.27,22.57,-67,0.008515,1854,1612,257
48,600942420d9a3cac6984b85b,00:09:58,22.82,22.61,-68,0.007268,1987,1612,257
49,6009424e0d9a3cac6984b85c,00:10:10,22.38,22.26,-70,0.011837,1766,1618,262
50,6009425a0d9a3cac6984b85d,00:10:22,23.49,21.31,-67,0.008990,1705,1592,238
51,600942660d9a3cac6984b85e,00:10:35,23.14,21.97,-67,0.008941,1714,1612,257
52,600942710d9a3cac6984b85f,00:10:46,23.64,21.46,-69,0.007344,1626,1597,242
53,6009427d0d9a3cac6984b860,00:10:58,22.47,21.95,-69,0.006167,1947,1591,237
54,600942880d9a3cac6984b861,00:11:09,22.17,21.41,-64,0.008680,2018,1586,233
55,600942940d9a3cac6984b862,00:11:21,22.45,21.52,-69,0.004898,1882,1586,233
56,600942a00d9a3cac6984b863,00:11:33,22.91,21.67,-69,0.005384,2087,1621,265
57,600942ab0d9a3cac6984b864,00:11:44,22.68,21.62,-65,0.008157,1665,1586,233
58,600942b70d9a3cac6984b865,00:11:56,22.94,21.82,-69,0.008622,1862,1621,265
59,600942c30d9a3cac6984b866,00:12:08,22.11,21.65,-66,0.006837,1627,1591,237
60,600942cf0d9a3cac6984b867,00:12:20,22.13,21.85,-68,0.009437,1774,1628,271
61,600942db0d9a3cac6984b868,00:12:31,22.75,21.39,-70,0.006097,2011,1599,245
62,600942e60d9a3cac6984b869,00:12:43,22.82,21.1,-69,0.004267,1773,1616,261
63,600942f20d9a3cac6984b86a,00:12:55,22.55,21.67,-66,0.010917,1878,1591,237
64,600942ff0d9a3cac6984b86b,00:13:06,22.88,21.54,-74,0.011122,1917,1583,231
65,6009430b0d9a3cac6984b86c,00:13:19,22.83,21.73,-70,0.005114,1775,1595,240
66,600943160d9a3cac6984b86d,00:13:30,22.78,21.55,-68,0.004009,1785,1583,231
67,600943230d9a3cac6984b86e,00:13:42,22.83,21.37,-68,0.004526,1716,1576,226
68,6009432e0d9a3cac6984b86f,00:13:54,22.42,21.29,-65,0.008927,1935,1572,223
69,6009433d0d9a3cac6984b870,00:14:06,22.93,21.66,-66,0.004571,1907,1572,223
70,600943490d9a3cac6984b871,00:14:21,22.47,21.77,-71,0.006765,1920,1590,236
71,600943550d9a3cac6984b872,00:14:33,22.39,21.5,-68,0.006311,1911,1572,223
72,600943610d9a3cac6984b873,00:14:45,22.70,21.26,-68,0.008165,1915,1583,231
73,6009436d0d9a3cac6984b874,00:14:56,22.0,21.25,-65,0.005684,1751,1575,226
74,6009437a0d9a3cac6984b875,00:15:09,22.47,21.88,-67,0.010065,1852,1588,235
75,600943860d9a3cac6984b876,00:15:22,22.11,21.81,-66,0.005647,1499,1582,230
76,600943920d9a3cac6984b877,00:15:35,22.5,21.29,-68,0.008522,1947,1582,230
77,6009439d0d9a3cac6984b878,00:15:46,22.83,21.41,-70,0.007548,1874,1594,239
78,600943a90d9a3cac6984b879,00:15:58,22.85,21.63,-66,0.006693,2146,1588,235
79,600943b50d9a3cac6984b87a,00:16:10,22.0,21.27,-69,0.007868,1818,1614,258
